"Wavelength, nm",E-490 W/m2/nm
1338,3.83E-01
1340,3.79E-01
1342,3.81E-01
1344,3.80E-01
1346,3.77E-01
1348,3.77E-01
1350,3.72E-01
1352,3.74E-01
1354,3.72E-01
1356,3.68E-01
1358,3.69E-01
1360,3.67E-01
1362,3.68E-01
1364,3.66E-01
1366,3.66E-01
1368,3.63E-01
1370,3.60E-01
1372,3.62E-01
1374,3.61E-01
1376,3.56E-01
1378,3.58E-01
1380,3.58E-01
1382,3.55E-01
1384,3.55E-01
1386,3.53E-01
1388,3.53E-01
1390,3.51E-01
1392,3.51E-01
1394,3.49E-01
1396,3.49E-01
1398,3.49E-01
1400,3.43E-01
1402,3.44E-01
1404,3.43E-01
1406,3.43E-01
1408,3.43E-01
1410,3.42E-01
1412,3.35E-01
1414,3.38E-01
1416,3.39E-01
1418,3.39E-01
1420,3.36E-01
1422,3.32E-01
1424,3.31E-01
1426,3.28E-01
1428,3.29E-01
1430,3.26E-01
1432,3.30E-01
1434,3.28E-01
1436,3.29E-01
1438,3.28E-01
1440,3.19E-01
1442,3.19E-01
1444,3.20E-01
1446,3.22E-01
1448,3.22E-01
1450,3.19E-01
1452,3.15E-01
1454,3.14E-01
1456,3.13E-01
1458,3.17E-01
1460,3.16E-01
1462,3.12E-01
1464,3.11E-01
1466,3.11E-01
1468,3.11E-01
1470,3.10E-01
1472,3.07E-01
1474,3.03E-01
1476,3.05E-01
1478,3.04E-01
1480,3.07E-01
1482,3.04E-01
1484,3.04E-01
1486,3.03E-01
1488,2.86E-01
1490,3.02E-01
1492,3.02E-01
1494,3.03E-01
1496,2.97E-01
1498,2.99E-01
1500,3.01E-01
1502,2.92E-01
1504,2.80E-01
1506,2.85E-01
1508,2.92E-01
1510,2.95E-01
1512,2.91E-01
1514,2.88E-01
1516,2.88E-01
1518,2.88E-01
1520,2.87E-01
1522,2.82E-01
1524,2.84E-01
1526,2.85E-01
1528,2.85E-01
1530,2.77E-01
1532,2.82E-01
1534,2.78E-01
1536,2.81E-01
1538,2.77E-01
1540,2.73E-01
1542,2.75E-01
1544,2.78E-01
1546,2.77E-01
1548,2.71E-01
1550,2.71E-01
1552,2.73E-01
1554,2.68E-01
1556,2.67E-01
1558,2.69E-01
1560,2.68E-01
1562,2.70E-01
1564,2.67E-01
1566,2.65E-01
1568,2.63E-01
1570,2.65E-01
1572,2.67E-01
1574,2.61E-01
1576,2.54E-01
1578,2.55E-01
1580,2.65E-01
1582,2.59E-01
1584,2.59E-01
1586,2.60E-01
1588,2.49E-01
1590,2.41E-01
1592,2.53E-01
1594,2.58E-01
1596,2.51E-01
1598,2.55E-01
1600,2.51E-01
1602,2.49E-01
1604,2.50E-01
1606,2.48E-01
1608,2.49E-01
1610,2.40E-01
1612,2.43E-01
1614,2.45E-01
1616,2.37E-01
1618,2.42E-01
1620,2.37E-01
1622,2.38E-01
1624,2.42E-01
1626,2.40E-01
1628,2.42E-01
1630,2.39E-01
1632,2.39E-01
1634,2.36E-01
1636,2.36E-01
1638,2.27E-01
